ID	Reviews	Labels
2271	一直使用这个牌子，非常满意，通透光洁美白，不过敏。	O O O O O O O O O B-pos I-pos I-pos I-pos O B-pos I-pos B-pos I-pos B-pos I-pos O B-pos I-pos I-pos O
2272	很实惠，效果也不错，快递也很快	B-pos I-pos I-pos O O O O B-pos I-pos O B-wuliu I-wuliu O B-pos I-pos
2273	特别好用清爽不油腻	B-pos I-pos I-pos I-pos B-pos I-pos B-pos I-pos I-pos
2274	价格挺实惠的，用着也很舒服，下次还会来购买的，信赖**，物流速度很快	B-jiage I-jiage B-pos I-pos I-pos I-pos O O O O B-pos I-pos I-pos O O O O O O O O O O O O O O O B-wuliu I-wuliu I-wuliu I-wuliu B-pos I-pos
2275	宝贝特别好  特别喜欢	O O B-pos I-pos I-pos O O B-pos I-pos I-pos I-pos
2276	快递挺快的，今天下单，次日送达，给个好评???	B-wuliu I-wuliu B-pos I-pos I-pos O O O O O O O O O O O O O B-pos I-pos O O O
2277	**的物流真是超级快，东西还没用，赠品也不错	O O O B-wuliu I-wuliu O O B-pos I-pos I-pos O O O O O O O B-jiage I-jiage O B-pos I-pos
2278	味道不错，不紧绷	B-qiwei I-qiwei B-pos I-pos O B-pos I-pos I-pos
2279	很贴合肤色，效果不错	B-pos I-pos I-pos I-pos I-pos O O O B-pos I-pos
2280	是正品！不错的	B-pos I-pos I-pos O B-pos I-pos O
2281	挺好用的，弄到眼睛里也不会疼，挺温和的，不错	B-pos I-pos I-pos I-pos O O O O O O O O O O O B-pos I-pos I-pos I-pos O B-pos I-pos
2282	很不错，用完之后皮肤感觉好多了	B-pos I-pos I-pos O O O O O O O O O O O O
2283	不错，物美价廉，收到就迫不及待的用了一片，补水效果不错，揭下面膜稍微拍几下就吸收了。	O O O B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos O O O O O O O O O O O B-pos I-pos O O
2284	东西不错，厚度适中，大小合适。物美价廉，值得购买，五星好评。	O O B-pos I-pos O B-chicun I-chicun B-pos I-pos O B-chicun I-chicun B-pos I-pos O B-pos I-pos I-pos I-pos O O O O O O B-pos I-pos I-pos I-pos O
2285	垃圾，用过的史上最差的一款，浪费钱，又卡又浮粉，还难推开，心疼我自己。	B-neg I-neg O O O O O O B-neg I-neg O O O O B-neg I-neg I-neg O O B-neg O B-neg I-neg O O B-neg I-neg I-neg O O O O O O O
2286	很好用，跟之前在店里买的是一样的	B-pos I-pos I-pos O O O O O O O O O O O O O
2287	使用还可以，就是快递的包装怎么又是中空的，物品在里面来回跑，哗啦哗啦响	O O B-pos I-pos I-pos O O O B-wuliu I-wuliu I-wuliu I-wuliu I-wuliu O O O O B-neg I-neg I-neg O O O O O O O O O O O O O O O
2288	喜欢它的设计，不用倒置瓶口就可以把卸妆水倒出来	B-pos I-pos O O B-qita I-qita O O O O O O O O O O O O O O O O O
2289	非常好，很喜欢	B-pos I-pos I-pos O B-pos I-pos I-pos
2290	还没用，今天才打开看看，包装挺好的，等用过以后再来写追评	O O O O O O O O O O O O B-baozhuang I-baozhuang B-pos I-pos I-pos O O O O O O O O O O O
2291	**送货很快，第一次购买这个产品，包装很到位，不错的！	O O B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O B-baozhuang I-baozhuang B-pos I-pos I-pos O B-pos I-pos I-pos O
2292	真的是物美价廉，还送了两个替换装，用了皮肤白的自然不错	O O O B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos B-pos I-pos
2293	一直用他们家的卸妆水，效果挺好	O O O O O O O O O O O O O B-pos I-pos
2294	很不错，第二次买的，用起来也不错	B-pos I-pos I-pos O O O O O O O O O O O O O
2295	以前也买过，用着很可以，品质很好。国产么么哒	O O O O O O O O B-pos I-pos I-pos O O O B-pos I-pos O O O O O O
2296	挺好用的，快递很快，	B-pos I-pos I-pos O O B-wuliu I-wuliu B-pos I-pos O
2297	做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的。	O O O O O O O O B-jiage I-jiage B-pos I-pos O O O O O O O O O O B-pos I-pos I-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos O B-chengfen I-chengfen O B-pos I-pos O B-qiwei I-qiwei B-pos I-pos I-pos O
2298	试擦手背，感觉还挺好用的，看以后效果再来追评	O O O O O O O O B-pos I-pos I-pos I-pos O O O O O O O O O O
2299	黏黏糊糊不吸收	B-neg I-neg I-neg I-neg B-neg I-neg I-neg
2300	还没有用，应该不错吧。就是这个日期不太好	O O O O O B-pos I-pos I-pos I-pos O O O O O O B-xinxiandu I-xinxiandu B-neg I-neg I-neg
2301	挺好的，和室友一起买了有3支，这次又买一支，去专柜试过才下单的，很满意	B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos
2302	不错。。。。。。	B-pos I-pos O O O O O O
2303	还可以吧，先用着试试看看吧？	B-pos I-pos I-pos O O O O O O O O O O O
2304	东西收到了，比预想的好很多，一直信赖**	O O O O O O O O O O B-pos I-pos I-pos O O O O O O O
2305	用着不错，挺水润的，大爱呀爱呀	O O B-pos I-pos O B-pos I-pos I-pos I-pos O B-pos I-pos I-pos O O
2306	不错哦。速度很快，~。以后就买****的了。	B-pos I-pos O O B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O O O O
2307	是正品，已经在他家买第二次了，也可以做底妆使用	B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O
2308	一直在用，效果好	O O O O O O O B-pos
2309	老婆一直用的这种，说用的还不错，还有小赠品。	O O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O
2310	宝贝收到了，一次买了2套。使用后冰冰凉凉，水水润润很舒服，夏季必备。一次愉快的购物。	O O O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O B-pos I-pos I-pos I-pos B-pos I-pos I-pos O O O O O O O O O O O O O O
2311	还没用，应该不错，好评	O O O O O O B-pos I-pos O B-pos I-pos
2312	已经第二次购买，这次的物流出奇的快，我是油性皮肤，感觉还不错，自己用完有明显的改善	O O O O O O O O O O O B-wuliu I-wuliu B-pos I-pos I-pos I-pos O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O O O
2313	还没使用，用过后再追评吧！看着真不错	O O O O O O O O O O O O O O O B-pos I-pos I-pos
2314	很好用，温和不刺激，清洁力也不错，好评	B-pos I-pos I-pos O B-pos I-pos B-pos I-pos I-pos O B-gongxiao I-gongxiao I-gongxiao O B-pos I-pos O B-pos I-pos
2315	刚刚收到货，打开东西很不错，还有好多赠品	O O O O O O O O O O B-neu I-neu I-neu O O O B-pos I-pos B-jiage I-jiage
2316	搞活动的时候买的很划算！	O B-jiage I-jiage O O O O O B-pos I-pos I-pos O
2317	昨天晚上用了一片，感觉还可以	O O O O O O O O O O O B-pos I-pos I-pos
2318	靠谱实在的赠品！	B-pos I-pos B-pos I-pos O B-jiage I-jiage O
2319	超级好(?�?)	B-pos I-pos I-pos O O O O O
2320	清洁能力：总总体来说还好，只是一点点红。	B-gongxiao I-gongxiao I-gongxiao I-gongxiao O O O O O O B-pos I-pos O O O B-neg I-neg I-neg I-neg O
2321	效果不错，老婆喜欢。应该还会购买	O O B-pos I-pos O O O B-pos I-pos O O O O O O O
2322	清润型，用起来很清爽不油	O O O O O O O B-pos I-pos I-pos B-pos I-pos
2323	挺好的质量不错，感觉像正品	B-pos I-pos I-pos O O B-pos I-pos O O O B-pos I-pos I-pos
2324	一直用这个牌子，我和闺女都在用，感觉不错。	O O O O O O O O O O O O O O O O O O B-pos I-pos O
2325	用过一次就爱上了，很好用，补水效果好	O O O O O O O O O B-pos I-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos
2326	遮瑕不是太好	B-gongxiao I-gongxiao B-neg I-neg I-neg I-neg
2327	东西用了一段时间了，效果不错是正品！刚开始还担心没有实体店里的可靠	O O O O O O O O O O O O B-pos I-pos B-pos I-pos I-pos O O O O O O O O O O O O O O O O
2328	很好很喜欢	B-pos I-pos B-pos I-pos I-pos
2329	用起来遮黄气暗沉，还不油腻，我属于混合型皮肤，用这个挺好的	O O O B-pos I-pos I-pos I-pos I-pos O O B-pos I-pos I-pos O O O O O O O O O O O O O B-pos I-pos I-pos
2330	个人认为**的东西很棒！物流也很快&hellip	O O O O O O O O O O O O B-wuliu I-wuliu O B-pos I-pos O O O O O O O
2331	还没用 小小的一个 希望对混油敏感肌友好	O O O O B-neu I-neu I-neu O O O O O O O O O O O O O
2332	一直信赖的产品，跟店里一样，是正品，属于温和性的，油性干性皮肤都可以用！	O O O O O O O O O O O O O O O B-pos I-pos O O O B-pos I-pos I-pos I-pos O O O O O O O O O O O O
2333	物流很快货已收到，试用了一下就是有点黏黏的不知道是不是正品。	B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O O O O B-neg I-neg I-neg B-neu I-neu I-neu I-neu I-neu I-neu I-neu I-neu O
2334	谁用谁知道，还行吧	O O O O O O B-pos I-pos O
2335	挺好用的，经济实惠的。	B-pos I-pos I-pos I-pos O B-pos I-pos B-pos I-pos O O
2336	很好很自然，很香，两个替换，好划算	B-pos I-pos B-pos I-pos I-pos O B-pos I-pos O O O O O O B-pos I-pos I-pos
2337	宝贝收到了，还没有用，感觉不错。用过他家的化妆品，挺水润的。物流杠杠的！喜欢??	O O O O O O O O O O O O O B-pos I-pos O O O O O O O O O O B-pos I-pos I-pos I-pos O B-wuliu I-wuliu B-pos I-pos I-pos O B-pos I-pos O O
2338	喜欢用***的面膜，有些问题**客服也该解决了	B-pos I-pos O O O O O O O O O O O O O O O O O O O O O
2339	就是太裸妆了。。。。。。。	O O B-neg I-neg I-neg I-neg O O O O O O O
2340	买给妈妈的，她很喜欢	O O O O O O O B-pos I-pos I-pos
2341	**快递是蛮快的，就是包装太简便了吧，面膜里的精华都出来了??	O O B-wuliu I-wuliu O B-pos I-pos I-pos O O O B-baozhuang I-baozhuang B-neg I-neg I-neg O O O O O O O O O O O O O O O
2342	听同事们讲这款CC气垫霜很好用，昨天果断下单买来，用后追加评论。	O O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O O O O O O O O O
2343	看着还不错，很多的，感觉很好，送货快服务态度好。	O O B-pos I-pos I-pos O O O O O O O O O O B-wuliu I-wuliu B-pos B-wuliu I-wuliu I-wuliu I-wuliu B-pos O
2344	好用 美白隔离效果很好 肤色暗黄推荐使用	B-pos I-pos O B-gongxiao I-gongxiao B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos O O O O O O O O O
2345	之前用过一次朋友的，感觉不错，这次买来试试，还有送卸妆水?	O O O O O O O O O O O O B-pos I-pos O O O O O O O O O O O O O O O
2346	支持**，东西很好，很实惠，配送服务态度很好。	O O O O O O O B-pos I-pos O B-pos I-pos I-pos O B-wuliu I-wuliu I-wuliu I-wuliu I-wuliu I-wuliu O O O
2347	非常满意，没有异味，瓶口方便，使用无异常不适。推荐购买。	B-pos I-pos I-pos I-pos O B-pos I-pos B-qiwei I-qiwei O B-baozhuang I-baozhuang B-pos I-pos O O O B-pos I-pos I-pos I-pos I-pos O O O O O O
2348	这个价钱真是超级值得，赠品好有分量，很好用，易吸收，推荐！	O O B-jiage I-jiage O O B-pos I-pos I-pos I-pos O B-jiage I-jiage B-pos I-pos I-pos I-pos O B-pos I-pos I-pos O B-pos I-pos I-pos O O O O
2349	不止一次买不来呀，隔离效果好，而且价格非常公道喜欢的朋友可以入手。	O O O O O O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos O O O B-jiage I-jiage B-pos I-pos I-pos I-pos O O O O O O O O O O
2350	一直信赖的东东，补水保湿效果特别好。	O O O O O O O O B-gongxiao I-gongxiao B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos I-pos O
2351	过节了，让自己更年轻，非常好。	O O O O O O O O O O O B-pos I-pos I-pos O
2352	面膜感觉不错，价格实惠，值得购买，不错的一次购物，下次还会光临	O O O O B-pos I-pos O B-jiage I-jiage B-pos I-pos O O O O O O O O O O O O O O O O O O O O
2353	不错朋友挺喜欢	B-pos I-pos O O B-pos I-pos I-pos
2354	清洁能力：洗面奶比以前用的用起来效果也蛮好的，用段时间再说	B-gongxiao I-gongxiao I-gongxiao I-gongxiao O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O
2355	**物流真的没话说，太好了，还没有用，用过后追加	O O B-wuliu I-wuliu O O B-pos I-pos I-pos O B-pos I-pos I-pos O O O O O O O O O O O
2356	不错，女朋友经常用这个	B-pos I-pos O O O O O O O O O
2357	瓶包装完美，瓶子很好，分量足，卸妆水感觉很少	O B-baozhuang I-baozhuang B-pos I-pos O O O O O O B-pos I-pos I-pos O B-qita I-qita I-qita O O B-neg I-neg
2358	上妆效果：有点假面，比较厚重 持久情况：很好 适合肤质：油皮	B-gongxiao I-gongxiao I-gongxiao I-gongxiao O O O O O O B-neu I-neu I-neu I-neu O B-gongxiao I-gongxiao I-gongxiao I-gongxiao O B-pos I-pos O O O O O O O O
2359	好用，喜欢，物美价廉，总要继续回购。	B-pos I-pos O B-pos I-pos O B-pos I-pos I-pos I-pos O O O O O O O O
2360	收到了还没有用，看着还不错	O O O O O O O O O O B-pos I-pos I-pos
2361	粉质不是很好，只能将就!	B-shiyongtiyan I-shiyongtiyan B-neg I-neg I-neg I-neg O O O O O O
2362	物美价廉，快递给力。味道淡淡的清香。挺好用的，泡沫细腻，不紧绷。趁着活动囤货。	B-pos I-pos I-pos I-pos O B-wuliu I-wuliu B-pos I-pos O B-qiwei I-qiwei B-pos I-pos I-pos I-pos I-pos O B-pos I-pos I-pos I-pos O O O B-pos I-pos O B-pos I-pos I-pos O O O O O O O O
2363	还没有用，有点香味，****店应该是正品吧	O O O O O O O B-qiwei I-qiwei O O O O O O O O B-pos I-pos I-pos O
2364	还挺好用的，一点就够非常好用	O B-pos I-pos I-pos I-pos O O O O O B-pos I-pos I-pos I-pos
2365	收到了，贴了两张深海雪润面膜，感觉补水效果还可以	O O O O O O O O O O O O O O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos I-pos
2366	发货速度快宝贝是正品，满意	B-wuliu I-wuliu I-wuliu I-wuliu B-pos O O B-pos I-pos I-pos O B-pos I-pos
2367	用起来不错，很细腻，两个替换装，很棒，价格便宜，物美价廉，好用，好评	O O O B-pos I-pos O B-pos I-pos I-pos O O O O O O O B-pos I-pos O B-jiage I-jiage B-pos I-pos O B-pos I-pos I-pos I-pos O B-pos I-pos O B-pos I-pos
2368	价格便宜活动给力，夏天防晒配卸妆，不错。价格便宜活动给力，夏天防晒配卸妆，不错。	B-jiage I-jiage B-pos I-pos B-jiage I-jiage B-pos I-pos O O O O O O O O O B-pos I-pos O O O O O O O O O O O O O O O O O O O O O
2369	卸妆水好用，不刺激，非常满意	O O O B-pos I-pos O B-pos I-pos I-pos O B-pos I-pos I-pos I-pos
2370	一次买了两袋，水比较多，用后皮肤光光的	O O O O O O O B-chengfen B-pos I-pos I-pos O O O O O B-pos I-pos I-pos
2371	活动买的很合适，用着很不错，店家服务也很好	B-jiage I-jiage O O B-pos I-pos I-pos O O O B-pos I-pos I-pos O B-fuwu I-fuwu I-fuwu I-fuwu O B-pos I-pos
2372	包装盒很好看，送有两个替换装，粉质很是细腻，略带香味，用着很舒服！	B-baozhuang I-baozhuang I-baozhuang B-pos I-pos I-pos O O O O O O O O O B-shiyongtiyan I-shiyongtiyan O O B-pos I-pos O B-pos I-pos I-pos I-pos O O O B-pos I-pos I-pos O
2373	伪娘化妆用的~嘿嘿嘿嘿，爽~	O O O O O O O O O O O O B-pos O
2374	看李佳琦推荐的，用起来不油腻，淡斑美白效果看后期使用时间会不会有变化再来追加评论。	O O O O O O O O O O O B-pos I-pos I-pos O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao O O O O O O O O O O O O O O O O O O O O
2375	上午拍的下午就到了，物流没得说，用这牌子两年了，其它面膜再没用过	O O O O O O O O O O B-wuliu I-wuliu B-pos I-pos I-pos O O O O O O O O O O O O O O O O O
2376	挺好的，用着不错，挺容易推开。感觉有一点厚重。整体来说还不错。	B-pos I-pos I-pos O O O B-pos I-pos O O O O O O O O O O O O B-neu I-neu O O O O O B-pos I-pos I-pos O
2377	外观看上去做工粗糙，盖子是弯的，洗面奶很薄，几乎没泡泡，洗后没有清爽的感觉，觉得不值。	B-baozhuang I-baozhuang O O O O O B-neg I-neg O O O O O O O O O O B-neg I-neg O O O O O O O O O O O O O O O O O O O O O O
2378	第一次购买使用。效果不知。赠品到位。偿试性购买。物流很给力哦！	O O O O O O O O O O O O O B-jiage I-jiage B-pos I-pos O O O O O O O B-wuliu I-wuliu B-pos I-pos I-pos O O
2379	面膜挺好的	O O B-pos I-pos I-pos
2380	用了后脸部无紧绷感，比较保湿！	O O O O O B-pos I-pos I-pos I-pos O B-pos I-pos I-pos I-pos O
2381	给手背上试了试不错细腻亮白	O O O O O O O O O B-pos I-pos B-pos I-pos
2382	用过了才来评价，有淡淡的香味，不油腻，很容易就拍散了，很好用。	O O O O O O O O O B-pos I-pos I-pos B-qiwei I-qiwei O B-pos I-pos I-pos O O O O O O O O O B-pos I-pos I-pos O
2383	宝贝很喜欢，价格也很合适，还会继续光顾，希望效果也很出众	O O B-pos I-pos I-pos O B-jiage I-jiage O B-pos I-pos I-pos O O O O O O O O O O O O O O O O
2384	给妈妈买的，妈妈很喜欢，挺滋润的！	O O O O O O O O B-pos I-pos I-pos O B-pos I-pos I-pos I-pos O
2385	防晒效果还不知道。不过挺保湿的	B-gongxiao I-gongxiao I-gongxiao I-gongxiao O O O O O O O B-pos I-pos I-pos O
2386	没有介绍的那么遮盖红血丝，只是稍微有点提亮。	B-neg I-neg I-neg I-neg I-neg I-neg I-neg I-neg I-neg I-neg I-neg I-neg O O O B-neg I-neg I-neg I-neg I-neg I-neg O
2387	给老婆买的!老婆说效果很好!	O O O O O O O O O O O B-pos I-pos O
2388	气垫霜还不错，很喜欢的。	O O O B-pos I-pos I-pos O B-pos I-pos I-pos O O
2389	第二次购买了，味道香香的，提亮肤色，还是很好的	O O O O O O O B-qiwei I-qiwei B-pos I-pos I-pos O B-pos I-pos I-pos I-pos O O O B-pos I-pos O
2390	大品牌值得信赖，**快递很快的	O O O O O O O O O O B-wuliu I-wuliu B-pos I-pos O
2391	还行吧，氨基酸洗面奶较温和，不过好像还是干	B-pos I-pos I-pos O O O O O O O B-pos I-pos I-pos O O O O O B-neg I-neg I-neg
2392	刚刚试了一下，挺舒服的	O O O O O O O B-pos I-pos I-pos O
2393	一直用***，赶紧不错	O O O O O O O O O B-pos I-pos
2394	我觉得很好用哦！	O O O B-pos I-pos I-pos O O
2395	一点也不好用。用的脸上都起痘了。那些好的评论都是骗人的。假的	B-neg I-neg I-neg I-neg I-neg I-neg O O O O O O B-neg I-neg O O O O O O O O O O O O O O O O
2396	卸妆水好清爽不刺激，卸妆很干净，好大一瓶，能用很久，经济实惠	O O O B-pos I-pos I-pos B-pos I-pos I-pos O B-gongxiao I-gongxiao B-pos I-pos I-pos O O O O O O O O O O O B-pos I-pos B-pos I-pos
2397	我不知道白不白，但我一直都在用！***系列已经用8年了，喜欢！	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos O
2398	一直都在**买的这个牌子，好用	O O O O O O O O O O O O O B-pos I-pos
2399	活动买的很合适，用着很不错，店家服务也很好	B-jiage I-jiage O O B-pos I-pos I-pos O O O B-pos I-pos I-pos O B-fuwu I-fuwu I-fuwu I-fuwu O B-pos I-pos
2400	收到货了，非常好。物超所值。	O O O O O B-pos I-pos I-pos O B-pos I-pos I-pos I-pos O
2401	应该差不多，以前一直有用这个，祝掌柜生意兴隆	O O B-pos I-pos I-pos O O O O O O O O O O O O O O O O O
2402	物流很快，面膜用后感觉也特别的好，价格也很实惠，喜欢的可以试试哦	B-wuliu I-wuliu B-pos I-pos O O O O O O O O B-pos I-pos I-pos I-pos O B-jiage I-jiage O B-pos I-pos I-pos O O O O O O O O O
2403	感觉'还不错哦，一直都想买一瓶隔离霜，结果跟朋友一起买了，	O O O B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O
2404	洗面奶和我之前买的一样而且还比之前便宜 希望以后会越做越好不要偷懒	O O O O O O O O O O O O O O O O O B-pos I-pos O O O O O O O O O O O O O O
2405	非常满意，会给朋友们推荐的，还想买俩个呢！特别舒服。	B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O
2406	挺好的吧  第一次用气垫	B-pos I-pos I-pos O O O O O O O O O
2407	这个面膜很好用，用了一次就感觉补水效果很不错	O O O O B-pos I-pos I-pos O O O O O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos I-pos
2408	很好用，奶思	B-pos I-pos I-pos O O O
2409	非常好，买的清爽型的，一点都不油腻，是我这个大油田的救星呀！	B-pos I-pos I-pos O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O O O O O
2410	第二个感觉不是很好用了	O O O O O B-neg I-neg I-neg I-neg I-neg O
2411	好好用哦，肤色提亮了很多，透气。用完还买	B-pos I-pos I-pos O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao O B-pos I-pos O B-pos I-pos O O O O O
2412	用了评价，遮瑕效果一般，但是挺润的，没有浮粉	O O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-neu I-neu O O O B-pos I-pos I-pos O B-pos I-pos I-pos I-pos
2413	东西不错，比较满意啊，好好好好	O O B-pos I-pos O B-pos I-pos I-pos I-pos O O O O O O
2414	不错，一直购买，值得拥有和推荐给大家。	B-pos I-pos O O O O O O O O O O O O O O O O O
2415	用着效果挺不错。买一赠一，很划算，祝店家生意越来越好！	O O B-gongxiao I-gongxiao B-pos I-pos I-pos O O O O O O B-pos I-pos I-pos O O O O O O O O O O O
2416	很好，一直用的这款面膜，这下够大半年的了，	B-pos I-pos O O O O O O O O O O O O O O O O O O O
2417	家里的面膜挺多的，这个收到后还没用，不过看着挺不错的，迟点再试试看看好不好，只要不过敏就好	O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O
2418	很好，怎么都看不出来，今天弄了问朋友朋友都以为我没擦	B-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O
2419	用着挺不错的，价钱也不贵，脸上用了挺水润的，没有那么干了	O O B-pos I-pos I-pos O O B-jiage I-jiage O B-pos I-pos O O O O O B-pos I-pos I-pos O O O O O O O O
2420	送的挺不错的	O O B-pos I-pos I-pos I-pos
2421	看着就很高大上，还送了两瓶卸妆水，非常喜欢	O O O B-pos I-pos I-pos I-pos O O O O O O O O O O B-pos I-pos I-pos I-pos
2422	好不好用另说，就是便宜	O O O O O O O O O B-pos I-pos
2423	有一瓶漏了	O O O B-neg I-neg
2424	一直在用这个牌子得东西，不错，养护需要时间	O O O O O O O O O O O O B-pos I-pos O O O O O O O
2425	很好媳妇很满意	B-pos I-pos O O B-pos I-pos I-pos
2426	面膜不错很好！！品牌值得信赖很好用，很满意不贵！	O O B-pos I-pos B-pos I-pos O O O O O O O O O O O O B-pos I-pos I-pos B-pos I-pos O
2427	面膜不错，用起来补水效果非常好。	O O B-pos I-pos O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos I-pos O
2428	快递小哥很热情，送货速度很快，挺好的	B-wuliu I-wuliu I-wuliu I-wuliu B-pos I-pos I-pos O B-wuliu I-wuliu I-wuliu I-wuliu B-pos I-pos O B-pos I-pos I-pos
2429	手的图片是原图哦，不过涂了隔离霜，美白效果没话说了，特别好	O O O O O O O O O O O O O O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao O O O O O B-pos I-pos I-pos
2430	好用，买了几年了	B-pos I-pos O O O O O O
2431	特划算，送的面膜盒也漂亮，上档次	B-pos I-pos I-pos O O O O O O O B-pos I-pos O B-pos I-pos I-pos
2432	已经收到，适涂了点在手上感觉颜色偏黄！明天再上脸看下效果	O O O O O O O O O O O O O O B-gongxiao I-gongxiao B-neg I-neg O O O O O O O O O O
2433	刚收到货就迫不及待的使用了下，感觉很不错	O O O O O O O O O O O O O O O O O B-pos I-pos I-pos
2434	包装完整，买了两盒，七五折，实惠。用过以后再来追评?。	B-baozhuang I-baozhuang B-pos I-pos O O O O O O O O O O B-pos I-pos O O O O O O O O O O O
2435	还行吧！一直用***的	B-pos I-pos O O O O O O O O O
2436	活动价格真的很实惠，这款面膜，个人觉得非常不错！	B-jiage I-jiage I-jiage I-jiage O O B-pos I-pos I-pos O O O O O O O O O O B-pos I-pos I-pos I-pos O
2437	一般般吧，	B-neu I-neu I-neu O O
2438	一如既往的回购，温和不刺激，保湿效果好，好评	O O O O O O O O B-pos I-pos B-pos I-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos O B-pos I-pos
2439	实惠好用，包装精美，大品牌就是好	B-pos I-pos B-pos I-pos O B-baozhuang I-baozhuang B-pos I-pos O O O O O O O
2440	不好，里面的东西好少，还得使劲压才有	B-neg I-neg O O O O O O B-neg I-neg O O O O O O O O
2441	还不错，感觉卸妆挺干净，脸不油，而且挺大瓶的，目前用2次了，感觉没什么问题。	B-pos I-pos I-pos O O O B-gongxiao I-gongxiao B-pos I-pos I-pos O O B-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O
2442	嗯，用着挺好的，容易推开，效果不错	O O O O B-pos I-pos I-pos O B-pos I-pos I-pos I-pos O O O B-pos I-pos
2443	东西还没开始用，评价是因为我想夸一下物流，那是真的#，效率超级高！！	O O O O O O O O O O O O O O O O O O B-wuliu I-wuliu O O O O O O O B-pos I-pos I-pos I-pos I-pos O O
2444	我只能说不得不佩服**的物流，比顺丰都快，太牛了，上午下单下午就到，厉害，东西很不错，值得购买	O O O O O O O O O O O O B-wuliu I-wuliu O O O O O B-pos O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O O O
2445	很清爽，不油腻，味道也喜欢，因为我都是淡妆，所以很干净，买一送一，还送了一大包卸妆棉，很划算	B-pos I-pos I-pos O B-pos I-pos I-pos O B-qiwei I-qiwei O B-pos I-pos O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O O O O O O O O B-pos I-pos I-pos
2446	帮朋友买的，听她说挺好用的！好评！	O O O O O O O O O B-pos I-pos I-pos I-pos O B-pos I-pos O
2447	遮瑕效果好，本**肤发黄，用了之后感觉气色很好，自然	B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O B-pos I-pos
2448	个人情况：有股淡淡的香味，洗完脸滑滑的	O O O O O O O B-pos I-pos I-pos B-qiwei I-qiwei O O O O B-pos I-pos I-pos
2449	用起来还可以吧，也比较好用，价格也可以。	O O O B-pos I-pos I-pos O O O B-pos I-pos I-pos I-pos O B-jiage I-jiage O B-pos I-pos O
2450	很好，一直在这家买	B-pos I-pos O O O O O O O
2451	收到面膜了，包装漂亮，应该面膜也好用，老牌子，用完下次又买	O O O O O O B-baozhuang I-baozhuang B-pos I-pos O O O O O O O O O O O O O O O O O O O
2452	这个牌子的化妆品挺好的。	O O O O O O O O B-pos I-pos I-pos O
2453	挺好用的，不错的产品，值得推荐！	B-pos I-pos I-pos I-pos O B-pos I-pos O O O O O O O O O
2454	效果非常好，下次还用这个	O O B-pos I-pos I-pos O O O O O O O
2455	好? 和实物描述的一样 不错值得购买  物流也快	B-pos O O O O O O O O O O O B-pos I-pos O O O O O O B-wuliu I-wuliu O B-pos
2456	特别好用，???	B-pos I-pos I-pos I-pos O O O O
